estado,voto,genero,edad,ponderado,homo_pon,partido,rango_edad,total
NA,NA,Mujeres,26,167241.21642045624,170423.07328862828,MORENA-PT-Partido Verde,25-29,170423.07328862828
NA,NA,Hombres,75,93045.18488534044,94815.42111606392,MORENA-PT-Partido Verde,65-100,-94815.42111606392
NA,NA,Mujeres,67,205367.51442964215,209274.74525630963,NR,65-100,209274.74525630963
NA,NA,Mujeres,38,79856.91884504394,81376.24100220494,MORENA-PT-Partido Verde,35-39,81376.24100220494
NA,NA,Mujeres,50,154664.7125214483,157607.2944299833,Movimiento Ciudadano,50-54,157607.2944299833
NA,NA,Hombres,26,175446.12234817335,178784.08210077535,MORENA-PT-Partido Verde,25-29,-178784.08210077535
NA,NA,Hombres,24,153723.0209242642,156647.68662804816,PAN-PRI-PRD,20-24,-156647.68662804816
NA,NA,Hombres,43,227254.34311212905,231577.98298948645,PAN-PRI-PRD,40-44,-231577.98298948645
NA,NA,Hombres,50,113457.3727458582,115615.96216802891,PAN-PRI-PRD,50-54,-115615.96216802891
NA,NA,Hombres,24,34821.6410374284,35484.14206479124,MORENA-PT-Partido Verde,20-24,-35484.14206479124
NA,NA,Hombres,32,60188.173618812856,61333.28699284071,Ninguno,30-34,-61333.28699284071
NA,NA,Mujeres,39,36527.86010707207,37222.82289823662,Ninguno,35-39,37222.82289823662
NA,NA,Mujeres,28,31609.877522444753,32211.272968194244,MORENA-PT-Partido Verde,25-29,32211.272968194244
NA,NA,Hombres,18,23176.24267307558,23617.18353984344,PAN-PRI-PRD,18-18,-23617.18353984344
