estado,voto,genero,edad,ponderado,homo_pon,partido,rango_edad,total
NA,NA,Hombres,62,29849.3856832755,36815.27550326771,MORENA-PT-Partido Verde,60-64,-36815.27550326771
NA,NA,Mujeres,63,47762.19594155638,58908.361494845296,PAN-PRI-PRD,60-64,58908.361494845296
NA,NA,Hombres,50,34474.609982441194,42519.878895946575,MORENA-PT-Partido Verde,50-54,-42519.878895946575
NA,NA,Hombres,53,44424.40521019969,54791.63739703581,PAN-PRI-PRD,50-54,-54791.63739703581
NA,NA,Mujeres,35,47.68272473366694,58.81034425442127,PAN-PRI-PRD,35-39,58.81034425442127
NA,NA,Mujeres,76,20988.346003602397,25886.35319598776,PAN-PRI-PRD,65-100,25886.35319598776
NA,NA,Mujeres,60,63545.177828400134,78374.58544305874,PAN-PRI-PRD,60-64,78374.58544305874
NA,NA,Hombres,54,50146.332178239725,61848.87870756637,PAN-PRI-PRD,50-54,-61848.87870756637
NA,NA,Mujeres,41,17976.387224592436,22171.499783916817,MORENA-PT-Partido Verde,40-44,22171.499783916817
NA,NA,Mujeres,22,4720.589748633026,5822.224081187704,MORENA-PT-Partido Verde,20-24,5822.224081187704
NA,NA,Mujeres,50,2002.6744388140112,2470.034458685693,Ninguno,50-54,2470.034458685693
NA,NA,Hombres,45,31248.078942129738,38540.37893473073,Movimiento Ciudadano,45-49,-38540.37893473073
NA,NA,Hombres,55,45680.050294852925,56340.30979573557,MORENA-PT-Partido Verde,55-59,-56340.30979573557
NA,NA,Hombres,66,38511.747343225,47499.15470948758,MORENA-PT-Partido Verde,65-100,-47499.15470948758
NA,NA,Hombres,58,31041.453801617175,38285.53410962824,MORENA-PT-Partido Verde,55-59,-38285.53410962824
NA,NA,Hombres,59,68090.93091967638,83981.17159531356,MORENA-PT-Partido Verde,55-59,-83981.17159531356
NA,NA,Hombres,46,30898.405627416178,38109.10307686498,MORENA-PT-Partido Verde,45-49,-38109.10307686498
NA,NA,Mujeres,36,33282.54186409952,41049.62028958604,MORENA-PT-Partido Verde,35-39,41049.62028958604
NA,NA,Mujeres,42,6389.485114311369,7880.586130092449,MORENA-PT-Partido Verde,40-44,7880.586130092449
NA,NA,Mujeres,40,10943.185326376562,13496.97400638968,MORENA-PT-Partido Verde,40-44,13496.97400638968
NA,NA,Hombres,50,47285.36869421971,58320.25805230109,MORENA-PT-Partido Verde,50-54,-58320.25805230109
NA,NA,Hombres,53,57092.11574777721,70415.58552062705,PAN-PRI-PRD,50-54,-70415.58552062705
NA,NA,Hombres,54,11094.180621366508,13683.206763195349,MORENA-PT-Partido Verde,50-54,-13683.206763195349
NA,NA,Hombres,43,18882.358994532104,23288.896324750815,MORENA-PT-Partido Verde,40-44,-23288.896324750815
NA,NA,Mujeres,57,70284.33625742506,86686.44743101695,MORENA-PT-Partido Verde,55-59,86686.44743101695
NA,NA,Hombres,55,58983.530495546,72748.39584271911,PAN-PRI-PRD,55-59,-72748.39584271911
NA,NA,Hombres,65,24736.73797572121,30509.49970265476,PAN-PRI-PRD,65-100,-30509.49970265476
NA,NA,Hombres,45,5547.090310683254,6841.603381597674,PAN-PRI-PRD,45-49,-6841.603381597674
NA,NA,Hombres,55,74607.56996661087,92018.58531008448,PAN-PRI-PRD,55-59,-92018.58531008448
NA,NA,Hombres,48,31693.117706310622,39089.27548110534,PAN-PRI-PRD,45-49,-39089.27548110534
NA,NA,Mujeres,43,6389.485114311369,7880.586130092449,MORENA-PT-Partido Verde,40-44,7880.586130092449
NA,NA,Hombres,45,47.68272473366694,58.81034425442127,PAN-PRI-PRD,45-49,-58.81034425442127
NA,NA,Hombres,77,26622.85464296404,32835.77554205187,PAN-PRI-PRD,65-100,-32835.77554205187
NA,NA,Hombres,73,75227.44538814854,92783.11978539196,PAN-PRI-PRD,65-100,-92783.11978539196
NA,NA,Hombres,49,70888.31743738485,87431.37845823962,PAN-PRI-PRD,45-49,-87431.37845823962
NA,NA,Hombres,62,4974.8976138792505,6135.879250544619,MORENA-PT-Partido Verde,60-64,-6135.879250544619
NA,NA,Hombres,45,39528.97880420989,48753.77538691523,MORENA-PT-Partido Verde,45-49,-48753.77538691523
NA,NA,Hombres,62,66056.46799770658,81471.93024045824,PAN-PRI-PRD,60-64,-81471.93024045824
NA,NA,Hombres,54,50654.947908732174,62476.18904628019,PAN-PRI-PRD,50-54,-62476.18904628019
NA,NA,Hombres,56,67693.57488022916,83491.0853931934,MORENA-PT-Partido Verde,55-59,-83491.0853931934
NA,NA,Hombres,50,6389.485114311369,7880.586130092449,MORENA-PT-Partido Verde,50-54,-7880.586130092449
NA,NA,Hombres,70,24736.73797572121,30509.49970265476,PAN-PRI-PRD,65-100,-30509.49970265476
NA,NA,Mujeres,42,6389.485114311369,7880.586130092449,MORENA-PT-Partido Verde,40-44,7880.586130092449
NA,NA,Hombres,63,65039.2365367217,80217.3095630306,MORENA-PT-Partido Verde,60-64,-80217.3095630306
NA,NA,Hombres,68,38829.632174782775,47891.22367118372,PAN-PRI-PRD,65-100,-47891.22367118372
NA,NA,Mujeres,40,70347.91322373661,86764.86122335617,PAN-PRI-PRD,40-44,86764.86122335617
NA,NA,Hombres,48,23491.689052119913,28973.89626934488,PAN-PRI-PRD,45-49,-28973.89626934488
NA,NA,Hombres,27,46824.43568846094,57751.75805784169,MORENA-PT-Partido Verde,25-29,-57751.75805784169
NA,NA,Hombres,60,23618.84298474302,29130.723854023327,MORENA-PT-Partido Verde,60-64,-29130.723854023327
NA,NA,Hombres,35,471.5291668107064,581.5689598492771,PAN-PRI-PRD,35-39,-581.5689598492771
NA,NA,Hombres,56,7319.298246617875,9027.387843053664,PAN-PRI-PRD,55-59,-9027.387843053664
NA,NA,Mujeres,65,24802.96398229575,30591.18073634146,PAN-PRI-PRD,65-100,30591.18073634146
NA,NA,Hombres,28,41452.18203513446,51125.79260517689,MORENA-PT-Partido Verde,25-29,-51125.79260517689
NA,NA,Hombres,39,31693.117706310622,39089.27548110534,MORENA-PT-Partido Verde,35-39,-39089.27548110534
NA,NA,Hombres,49,75624.80142759575,93273.20598751212,PAN-PRI-PRD,45-49,-93273.20598751212
NA,NA,Hombres,53,6389.485114311369,7880.586130092449,MORENA-PT-Partido Verde,50-54,-7880.586130092449
NA,NA,Mujeres,21,7319.298246617875,9027.387843053664,MORENA-PT-Partido Verde,20-24,9027.387843053664
NA,NA,Hombres,35,29491.765247773,36374.197921359555,MORENA-PT-Partido Verde,35-39,-36374.197921359555
NA,NA,Hombres,60,14257.134695366412,17584.292932071956,MORENA-PT-Partido Verde,60-64,-17584.292932071956
NA,NA,Hombres,74,29491.765247773,36374.197921359555,PAN-PRI-PRD,65-100,-36374.197921359555
NA,NA,Mujeres,47,31542.12241132068,38903.042724299674,PAN-PRI-PRD,45-49,38903.042724299674
NA,NA,Hombres,64,48064.186531536274,59280.82700845663,PAN-PRI-PRD,60-64,-59280.82700845663
NA,NA,Hombres,72,12906.12416124585,15917.999844863354,PAN-PRI-PRD,65-100,-15917.999844863354
NA,NA,Hombres,54,6389.485114311369,7880.586130092449,MORENA-PT-Partido Verde,50-54,-7880.586130092449
NA,NA,Hombres,58,33775.26335301408,41657.32718021506,MORENA-PT-Partido Verde,55-59,-41657.32718021506
NA,NA,Mujeres,58,9329.91980622083,11507.22402578176,PAN-PRI-PRD,55-59,11507.22402578176
NA,NA,Hombres,58,24802.96398229575,30591.18073634146,PAN-PRI-PRD,55-59,-30591.18073634146
NA,NA,Mujeres,26,47.68272473366694,58.81034425442127,PAN-PRI-PRD,25-29,58.81034425442127
NA,NA,Hombres,36,63529.283586822254,78354.98199497395,PAN-PRI-PRD,35-39,-78354.98199497395
NA,NA,Hombres,54,22585.71728218024,27856.49972851087,MORENA-PT-Partido Verde,50-54,-27856.49972851087
NA,NA,Hombres,54,70586.32684740495,87058.91294462829,PAN-PRI-PRD,50-54,-87058.91294462829
NA,NA,Hombres,67,56122.56701152598,69219.77518745382,MORENA-PT-Partido Verde,65-100,-69219.77518745382
NA,NA,Hombres,47,31542.12241132068,38903.042724299674,PAN-PRI-PRD,45-49,-38903.042724299674
NA,NA,Hombres,29,41118.40296199879,50714.120195395946,PAN-PRI-PRD,25-29,-50714.120195395946
NA,NA,Hombres,53,47730.4074584006,58869.15459867568,MORENA-PT-Partido Verde,50-54,-58869.15459867568
NA,NA,Hombres,60,17698.237996979376,21828.439442432693,PAN-PRI-PRD,60-64,-21828.439442432693
NA,NA,Hombres,54,6389.485114311369,7880.586130092449,MORENA-PT-Partido Verde,50-54,-7880.586130092449
NA,NA,Hombres,39,33298.43610567741,41069.22373767084,PAN-PRI-PRD,35-39,-41069.22373767084
NA,NA,Hombres,51,64022.00507573681,78962.68888560295,Movimiento Ciudadano,50-54,-78962.68888560295
NA,NA,Hombres,33,75275.1281128822,92841.93012964635,MORENA-PT-Partido Verde,30-34,-92841.93012964635
NA,NA,Hombres,65,24736.73797572121,30509.49970265476,PAN-PRI-PRD,65-100,-30509.49970265476
