estado,voto,genero,edad,ponderado,homo_pon,partido
26,7,2,29,146396.652830785,149181.9303195348,MORENA-PT-Partido Verde
26,7,2,20,76201.74721304816,77651.52770332502,MORENA-PT-Partido Verde
27,7,1,60,125672.95872397149,128063.9564422257,MORENA-PT-Partido Verde
27,95,2,44,229741.5112202359,234112.47084984378,Ninguno
27,7,1,30,172541.9524332192,175824.65874299165,MORENA-PT-Partido Verde
27,7,2,45,137765.54793349077,140386.6138661112,MORENA-PT-Partido Verde
27,7,1,66,135285.85957340783,137859.7480601311,MORENA-PT-Partido Verde
27,7,2,24,95783.05848860923,97605.38428263058,MORENA-PT-Partido Verde
27,7,1,25,148989.82281211452,151824.43679752486,MORENA-PT-Partido Verde
27,7,2,60,212132.69034315797,216168.63239248662,MORENA-PT-Partido Verde
27,7,2,27,113125.72450448028,115278.00413497865,MORENA-PT-Partido Verde
27,95,1,18,60505.805647825124,61656.96214731388,Ninguno
21,7,1,39,42984.52197925859,43802.32634239444,MORENA-PT-Partido Verde
21,7,2,48,28021.47608729651,28554.60020617715,MORENA-PT-Partido Verde
21,7,1,20,45951.31578168818,46825.56504183421,MORENA-PT-Partido Verde
21,7,1,25,30295.56812917743,30871.958110009968,MORENA-PT-Partido Verde
21,7,1,24,45951.31578168818,46825.56504183421,MORENA-PT-Partido Verde
21,7,2,31,39194.62006001713,39940.31943785366,MORENA-PT-Partido Verde
21,7,2,23,62817.13532118477,64012.26614921045,MORENA-PT-Partido Verde
21,7,1,49,31775.127909608418,32379.66733559567,MORENA-PT-Partido Verde
21,7,2,41,20692.229525785002,21085.910665181196,MORENA-PT-Partido Verde
21,5,2,28,50474.28248390788,51434.583693292254,MORENA-PT-Partido Verde
9,1,1,62,114291.57179839659,116466.03232005794,PAN-PRI-PRD
9,7,2,30,30744.944422797736,31329.884036770076,MORENA-PT-Partido Verde
9,7,2,43,16231.346184243535,16540.15654476,MORENA-PT-Partido Verde
9,7,1,67,23826.287590930042,24279.595922673136,MORENA-PT-Partido Verde
9,1,2,19,25612.99975192918,26100.301273165875,PAN-PRI-PRD
9,7,1,53,22536.215226298802,22964.9792160328,MORENA-PT-Partido Verde
9,2,1,27,40669.22666072647,41442.98124672725,PAN-PRI-PRD
9,7,1,44,19944.82767764934,20324.289082492804,MORENA-PT-Partido Verde
9,7,2,63,21724.105584842306,22137.41873837884,MORENA-PT-Partido Verde
9,5,2,50,35367.98560404633,36040.88113970616,MORENA-PT-Partido Verde
30,7,2,62,49772.14774669123,50719.090453406156,MORENA-PT-Partido Verde
30,99,1,54,29949.296571912964,30519.098544380595,
30,1,1,40,95722.16080593396,97543.3279877781,PAN-PRI-PRD
30,99,2,34,31406.30575418419,32003.82813417352,
30,6,2,46,41121.31201369323,41903.6677741899,Movimiento Ciudadano
30,7,2,44,43178.071160098865,43999.557903712244,MORENA-PT-Partido Verde
30,7,2,20,22473.33275702638,22900.900372917706,MORENA-PT-Partido Verde
30,7,1,65,31741.77341471196,32345.678252940626,MORENA-PT-Partido Verde
